company,report_id,file,link,status
amazon_aws,aws_sustainability_report_2025,amazon_aws/json/aws_sustainability_report_2025.json,https://sustainability.aboutamazon.com/2025-amazon-sustainability-report.pdf,done
amazon_aws,aws_water_efficiency_page_2025,amazon_aws/json/aws_water_efficiency_page_2025.json,https://www.aboutamazon.com/news/sustainability/amazon-data-center-water-usage,done
amazon_aws,aws_withdrawal_trellis_2025,amazon_aws/json/aws_withdrawal_trellis_2025.json,https://trellis.net/article/behind-amazons-industry-leading-water-efficiency-score/,done
apple,apple_environmental_progress_report_2025,apple/json/apple_environmental_progress_report_2025.json,https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2025.pdf,pending
equinix,equinix_customer_water_reports_infopaper,equinix/json/equinix_customer_water_reports_infopaper.json,https://www.equinix.com/resources/infopapers/customer-water-reports,pending
equinix,equinix_customer_water_reports_page,equinix/json/equinix_customer_water_reports_page.json,https://www.equinix.com/resources/infopapers/customer-water-reports,pending
equinix,equinix_sustainability_data_summary_2024,equinix/json/equinix_sustainability_data_summary_2024.json,https://media.greenweb.org/uploads/ds_sustainability_data_en.pdf,pending
equinix,equinix_sustainability_data_summary_page,equinix/json/equinix_sustainability_data_summary_page.json,https://www.equinix.com/resources/data-sheets/sustainability-data-summary,pending
equinix,equinix_wue_explainer,equinix/json/equinix_wue_explainer.json,https://blog.equinix.com/blog/2024/11/13/what-is-water-usage-effectiveness-wue-in-data-centers/,pending
google,google_environmental_report_2025,google/json/google_environmental_report_2025.json,https://sustainability.google/reports/google-2025-environmental-report/,done
google,google_environmental_report_2026,google/json/google_environmental_report_2026.json,https://sustainability.google/reports/google-2026-environmental-report/,done
google,google_operations_water_gwpc_2024,google/json/google_operations_water_gwpc_2024.json,https://www.gwpc.org/wp-content/uploads/2024/10/Eric-Olsen.pdf,done
google,google_the_dalles_records,google/json/google_the_dalles_records.json,https://www.latitudemedia.com/news/data-center-water-use-black-box-google-trying-to-change/,done
google,google_datacenters_water_page,google/json/google_datacenters_water_page.json,https://datacenters.google/water/,not_applicable_duplicative
google,google_cloud_carbon_footprint_methodology,google/json/google_cloud_carbon_footprint_methodology.json,https://docs.cloud.google.com/carbon-footprint/docs/methodology,not_applicable_energy_layer
meta,meta_sustainability_report_2024,meta/json/meta_sustainability_report_2024.json,https://sustainability.atmeta.com/wp-content/uploads/2024/08/Meta-2024-Sustainability-Report.pdf,pending
microsoft,microsoft_datacenter_wue_2025,microsoft/json/microsoft_datacenter_wue_2025.json,https://datacenters.microsoft.com/sustainability/efficiency/,done
microsoft,microsoft_environmental_data_factsheet_2026,microsoft/json/microsoft_environmental_data_factsheet_2026.json,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/,done
microsoft,microsoft_environmental_sustainability_report_2026,microsoft/json/microsoft_environmental_sustainability_report_2026.json,https://datacenters.microsoft.com/sustainability/efficiency/,done
nvidia,nvidia_sustainability_report_fy2025,nvidia/json/nvidia_sustainability_report_fy2025.json,https://images.nvidia.com/aem-dam/Solutions/documents/NVIDIA-Sustainability-Report-Fiscal-Year-2025.pdf,pending
salesforce,salesforce_stakeholder_impact_report_fy25,salesforce/json/salesforce_stakeholder_impact_report_fy25.json,https://www.salesforce.com/en-us/wp-content/uploads/sites/4/documents/white-papers/salesforce-fy25-stakeholder-impact-report.pdf,pending
